ID,DAY,MONTH,YEAR,DATE,HOUR,MIN,SEC,TIME,TYPE,LIKES,COMMENTS,TOTAL_WORDS,POS,NEG,NEU,COMP
1405174859572227_1332227820200265,23,4,2017,4/23/17,6,9,20,06:09:20,video,2,0,0,0,0,0,0
1405174859572227_1331943493562031,22,4,2017,4/22/17,23,14,38,23:14:38,video,4,0,0,0,0,0,0
1405174859572227_1331940863562294,22,4,2017,4/22/17,23,11,57,23:11:57,video,3,0,46,0,0.256,0.744,-0.915
1405174859572227_1331930756896638,22,4,2017,4/22/17,23,3,6,23:03:06,video,4,0,0,0,0,0,0
1405174859572227_1331927700230277,22,4,2017,4/22/17,23,1,38,23:01:38,video,7,1,7,0.419,0,0.581,0.651
1405174859572227_1331924253563955,22,4,2017,4/22/17,22,57,41,22:57:41,video,8,0,7,0,0.344,0.656,-0.484
1405174859572227_1331922280230819,22,4,2017,4/22/17,22,53,6,22:53:06,video,4,0,0,0,0,0,0
1405174859572227_1331921513564229,22,4,2017,4/22/17,22,51,26,22:51:26,video,2,0,0,0,0,0,0
1405174859572227_1331918016897912,22,4,2017,4/22/17,22,48,27,22:48:27,video,3,0,0,0,0,0,0
1405174859572227_1331916533564727,22,4,2017,4/22/17,22,44,49,22:44:49,video,6,0,0,0,0,0,0
1405174859572227_1331915123564868,22,4,2017,4/22/17,22,42,1,22:42:01,video,2,0,0,0,0,0,0
1405174859572227_1331914350231612,22,4,2017,4/22/17,22,40,37,22:40:37,video,0,0,0,0,0,0,0
1405174859572227_1331912366898477,22,4,2017,4/22/17,22,37,34,22:37:34,video,0,0,0,0,0,0,0
1405174859572227_1330577997031914,21,4,2017,4/21/17,18,14,26,18:14:26,video,7,0,7,0.333,0,0.667,0.459
1405174859572227_1330573907032323,21,4,2017,4/21/17,18,7,54,18:07:54,video,11,0,0,0,0,0,0
1405174859572227_1329214673834913,20,4,2017,4/20/17,17,57,19,17:57:19,video,9,1,12,0.139,0.236,0.625,-0.338
1405174859572227_1329209567168757,20,4,2017,4/20/17,17,50,31,17:50:31,video,1,0,0,0,0,0,0
1405174859572227_1328474663908914,20,4,2017,4/20/17,3,21,9,03:21:09,video,7,0,0,0,0,0,0
1405174859572227_1328471587242555,20,4,2017,4/20/17,3,15,41,03:15:41,video,9,1,6,0.375,0,0.625,0.459
